MsgID.STATE,0.0000000,False,False
MsgID.LOCAL_POSITION,44.0170000,5.2303033,0.2309116,-4.9208312
MsgID.LOCAL_VELOCITY,44.0170000,2.0762770,-0.0337380,-0.0248548
MsgID.GLOBAL_POSITION,0.0000000,-122.3974527,37.7925336,4.9220000
MsgID.LOCAL_VELOCITY,0.0000000,2.0400000,-0.2000000,-0.0500000
MsgID.LOCAL_POSITION,44.2670000,5.9084549,0.0469800,-4.9224663
MsgID.LOCAL_VELOCITY,44.2670000,2.0443215,-0.2060813,-0.0585272
MsgID.GLOBAL_POSITION,0.0000000,-122.3974533,37.7925382,4.9220000
MsgID.LOCAL_VELOCITY,0.0000000,2.0300000,-0.1500000,-0.0100000
MsgID.LOCAL_POSITION,44.5170000,6.4232788,-0.0061951,-4.9228287
MsgID.LOCAL_VELOCITY,44.5170000,2.0315957,-0.1575539,-0.0127469
MsgID.GLOBAL_POSITION,0.0000000,-122.3974535,37.7925420,4.9310000
MsgID.LOCAL_VELOCITY,0.0000000,1.7900000,-0.0600000,-0.0600000
MsgID.LOCAL_POSITION,44.7670000,6.8436251,-0.0207049,-4.9318724
MsgID.LOCAL_VELOCITY,44.7670000,1.7941819,-0.0677781,-0.0691716
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974534,37.7925474,4.9420000
MsgID.LOCAL_VELOCITY,0.0000000,1.9500000,0.0000000,-0.0100000
MsgID.LOCAL_POSITION,45.0170000,7.4406748,-0.0131424,-4.9422364
MsgID.LOCAL_VELOCITY,45.0170000,1.9540753,-0.0072032,-0.0115166
MsgID.GLOBAL_POSITION,0.0000000,-122.3974520,37.7925503,4.9320000
MsgID.LOCAL_VELOCITY,0.0000000,1.8100000,0.0000000,0.0700000
MsgID.LOCAL_POSITION,45.2670000,7.7659221,0.1103764,-4.9326987
MsgID.LOCAL_VELOCITY,45.2670000,1.8113191,0.0003200,0.0760584
MsgID.GLOBAL_POSITION,0.0000000,-122.3974519,37.7925555,4.9340000
MsgID.LOCAL_VELOCITY,0.0000000,2.0300000,-0.1000000,-0.0600000
MsgID.LOCAL_POSITION,45.5180000,8.3438959,0.1191413,-4.9344358
MsgID.LOCAL_VELOCITY,45.5180000,2.0345888,-0.1093810,-0.0636550
MsgID.GLOBAL_POSITION,0.0000000,-122.3974531,37.7925584,4.9420000
MsgID.LOCAL_VELOCITY,0.0000000,1.9600000,-0.1500000,-0.0400000
MsgID.LOCAL_POSITION,45.7680000,8.6621857,0.0105953,-4.9426918
MsgID.LOCAL_VELOCITY,45.7680000,1.9603281,-0.1516852,-0.0479526
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974553,37.7925643,4.9450000
MsgID.LOCAL_VELOCITY,0.0000000,2.1200000,0.0200000,0.0000000
MsgID.LOCAL_POSITION,46.0180000,9.3189096,-0.1833084,-4.9457288
MsgID.LOCAL_VELOCITY,46.0180000,2.1255553,0.0289148,0.0040030
MsgID.GLOBAL_POSITION,0.0000000,-122.3974544,37.7925685,4.9540000
MsgID.LOCAL_VELOCITY,0.0000000,1.9700000,0.1600000,0.1000000
MsgID.LOCAL_POSITION,46.2680000,9.7920847,-0.1048532,-4.9542322
MsgID.LOCAL_VELOCITY,46.2680000,1.9747698,0.1632038,0.1015386
MsgID.GLOBAL_POSITION,0.0000000,-122.3974520,37.7925740,4.9540000
